image_name blink head_pose_yaw_angle head_pose_pitch_angle head_pose_roll_angle left_eye_horizontal_position left_eye_vertical_position right_eye_horizontal_position right_eye_vertical_position
115.jpg False 3.217 -9.308 -2.046 0.03700 -0.01095 0.03634 0.00028
116.jpg False 2.994 -7.279 -2.185 0.03840 -0.00304 0.03431 0.00829
117.jpg False 2.783 -5.351 -2.335 0.03935 0.00499 0.03318 0.01641
118.jpg False 2.675 -3.590 -2.466 0.03816 0.01333 0.03054 0.02625
119.jpg False 2.648 -2.113 -2.583 0.03479 0.02149 0.02721 0.03565
120.jpg False 2.718 -0.931 -2.660 0.03368 0.02822 0.02339 0.04171
121.jpg False 2.802 -0.024 -2.738 0.03414 0.03679 0.01886 0.04580
122.jpg False 2.947 0.568 -2.821 0.03445 0.04013 0.01513 0.04847
123.jpg False 3.136 0.837 -2.930 0.03556 0.04347 0.01285 0.05105
124.jpg False 3.328 0.900 -3.038 0.03683 0.04295 0.01167 0.05121
125.jpg False 3.489 0.766 -3.171 0.03723 0.03975 0.01125 0.05108
126.jpg False 3.686 0.489 -3.308 0.03572 0.03577 0.01099 0.04944
127.jpg False 3.946 0.047 -3.417 0.03323 0.03268 0.01123 0.04672
128.jpg False 4.178 -0.487 -3.478 0.03007 0.02887 0.01144 0.04202
129.jpg False 4.398 -1.157 -3.516 0.02687 0.02341 0.01246 0.03593
130.jpg False 4.723 -2.015 -3.501 0.02638 0.02058 0.01447 0.03008
131.jpg False 5.061 -3.086 -3.454 0.02608 0.01589 0.01845 0.02340
132.jpg False 5.355 -4.222 -3.421 0.02642 0.01120 0.02264 0.01493
133.jpg False 5.639 -5.387 -3.372 0.02895 0.00663 0.02733 0.00765
134.jpg False 5.888 -6.674 -3.291 0.02989 0.00199 0.03162 -0.00128
135.jpg False 6.026 -7.964 -3.159 0.02833 -0.00657 0.03606 -0.01014
136.jpg False 6.133 -9.370 -2.976 0.02724 -0.00670 0.04016 -0.01057
137.jpg False 6.198 -10.942 -2.694 0.02654 -0.00220 0.04040 -0.00842
138.jpg False 6.142 -12.603 -2.416 0.02233 0.00108 0.04298 -0.00520
139.jpg False 6.033 -14.120 -2.157 0.02043 0.00776 0.04227 0.00263
140.jpg False 5.928 -15.503 -2.005 0.01878 0.01988 0.04176 0.01324
141.jpg False 5.854 -16.573 -1.935 0.01813 0.02255 0.03790 0.01617
142.jpg False 5.806 -17.260 -1.998 0.01667 0.02110 0.03603 0.02000
143.jpg False 5.849 -17.586 -2.089 0.01669 0.02172 0.02910 0.02289
144.jpg False 5.971 -17.736 -2.227 0.01731 0.02699 0.02653 0.02650
145.jpg False 6.116 -17.743 -2.354 0.01775 0.02583 0.02300 0.02536
146.jpg False 6.183 -17.600 -2.473 0.01759 0.02334 0.01999 0.02289
147.jpg False 6.126 -17.438 -2.547 0.01493 0.02733 0.01290 0.02668
148.jpg False 5.984 -17.348 -2.597 0.00686 0.02999 0.00038 0.02605
149.jpg False 5.813 -17.276 -2.585 -0.01200 0.02388 -0.02311 0.02222
150.jpg False 5.471 -17.195 -2.534 -0.03713 0.01966 -0.05173 0.01942
151.jpg False 4.994 -17.163 -2.479 -0.06776 0.01817 -0.08291 0.01751
152.jpg False 4.439 -17.151 -2.392 -0.09891 0.01398 -0.10856 0.01206
153.jpg False 3.821 -17.119 -2.292 -0.12514 0.01070 -0.12779 0.00971
154.jpg False 2.995 -17.042 -2.208 -0.14358 0.01243 -0.13770 0.00962
155.jpg False 2.097 -16.875 -2.098 -0.15412 0.01804 -0.13987 0.00800
156.jpg False 1.163 -16.684 -1.958 -0.16140 0.01735 -0.14122 0.00356
157.jpg False 0.232 -16.448 -1.832 -0.16807 0.01040 -0.14336 -0.00691
158.jpg False -0.609 -16.208 -1.723 -0.17480 0.00405 -0.14414 -0.01441
159.jpg False -1.318 -16.005 -1.652 -0.18103 -0.00072 -0.14390 -0.01829
160.jpg False -1.836 -15.878 -1.645 -0.18579 -0.00411 -0.14452 -0.01765
161.jpg False -2.181 -15.762 -1.694 -0.18486 -0.00017 -0.13801 -0.01060
162.jpg False -2.255 -15.609 -1.767 -0.17244 0.01431 -0.12137 0.00729
163.jpg False -2.087 -15.491 -1.870 -0.14749 0.03065 -0.09561 0.02762
164.jpg False -1.664 -15.440 -1.977 -0.11000 0.05091 -0.06281 0.04753
165.jpg False -1.044 -15.494 -2.091 -0.06044 0.06385 -0.01869 0.06478
166.jpg False -0.216 -15.566 -2.152 -0.00149 0.06634 0.03499 0.07019
167.jpg False 0.782 -15.770 -2.230 0.05738 0.05530 0.08799 0.06170
168.jpg False 1.852 -15.893 -2.328 0.11199 0.03762 0.14066 0.04457
169.jpg False 2.983 -15.960 -2.464 0.16001 0.01133 0.18839 0.02032
170.jpg False 4.080 -15.980 -2.591 0.19819 -0.01166 0.22644 -0.00331
171.jpg False 5.096 -15.976 -2.772 0.22621 -0.02029 0.25321 -0.01389
172.jpg False 5.910 -15.903 -2.963 0.24752 -0.01886 0.27224 -0.01664
173.jpg False 6.509 -15.922 -3.129 0.26278 -0.01253 0.28328 -0.01506
174.jpg False 6.857 -15.918 -3.219 0.26729 0.00192 0.28265 -0.00511
175.jpg False 7.058 -15.856 -3.265 0.25264 0.01755 0.26299 0.00351
176.jpg False 7.202 -15.720 -3.224 0.22565 0.02865 0.23013 0.00847
177.jpg False 7.188 -15.555 -3.050 0.18991 0.03641 0.18837 0.01076
178.jpg True 6.998 -15.310 -2.808 0.14778 0.04305 0.14015 0.01241
179.jpg True 6.589 -15.105 -2.555 0.10143 0.04407 0.09122 0.01058
180.jpg True 5.961 -14.842 -2.286 0.05911 0.04371 0.04696 0.01294
181.jpg False 4.961 -14.711 -2.045 0.01869 0.04513 0.00757 0.01639
182.jpg False 3.687 -14.654 -1.864 -0.02087 0.04627 -0.03004 0.02218
183.jpg False 2.181 -14.646 -1.676 -0.05859 0.04312 -0.06083 0.02357
184.jpg False 0.605 -14.607 -1.502 -0.08862 0.03707 -0.08572 0.02231
185.jpg False -0.909 -14.647 -1.378 -0.11110 0.03239 -0.10177 0.01768
186.jpg False -2.262 -14.662 -1.274 -0.12582 0.03018 -0.10997 0.01588
187.jpg False -3.339 -14.671 -1.188 -0.13446 0.02725 -0.11019 0.01456
188.jpg False -4.106 -14.672 -1.140 -0.14146 0.03043 -0.11342 0.01969
189.jpg False -4.658 -14.673 -1.067 -0.14813 0.03273 -0.11731 0.02338
190.jpg False -5.167 -14.688 -0.937 -0.15583 0.03182 -0.12094 0.02347
191.jpg False -5.723 -14.741 -0.748 -0.16531 0.02562 -0.12981 0.02151
192.jpg False -6.425 -14.810 -0.486 -0.17722 0.02313 -0.14451 0.02185
193.jpg False -7.517 -14.882 -0.206 -0.18723 0.01958 -0.16072 0.02244
194.jpg False -9.060 -15.003 0.065 -0.19528 0.01484 -0.17669 0.02285
195.jpg False -11.036 -15.172 0.304 -0.19905 0.01031 -0.19290 0.02567
196.jpg False -13.332 -15.434 0.437 -0.20034 0.00825 -0.20548 0.02890
197.jpg False -15.870 -15.851 0.390 -0.19877 0.00340 -0.21490 0.02733
198.jpg False -18.438 -16.508 0.181 -0.19299 0.00286 -0.22042 0.02247
199.jpg False -20.830 -17.299 -0.161 -0.18509 0.00875 -0.22088 0.01893
200.jpg False -22.947 -18.142 -0.521 -0.17267 0.02097 -0.20812 0.02111
201.jpg False -24.651 -18.933 -0.836 -0.15676 0.03578 -0.19231 0.02411
202.jpg False -25.886 -19.508 -1.013 -0.14050 0.05087 -0.17471 0.02873
203.jpg False -26.521 -19.921 -1.103 -0.12825 0.05895 -0.15715 0.03602
204.jpg False -26.678 -20.308 -1.142 -0.11828 0.06190 -0.14389 0.04124
205.jpg False -26.453 -20.878 -1.312 -0.11275 0.05993 -0.13887 0.04020
206.jpg False -26.022 -21.552 -1.598 -0.10618 0.05458 -0.13124 0.03539
207.jpg False -25.542 -22.602 -2.098 -0.09457 0.04249 -0.11551 0.02081
208.jpg False -25.165 -23.939 -2.709 -0.08417 0.03132 -0.09661 0.00453
209.jpg False -24.873 -25.514 -3.397 -0.07604 0.01786 -0.07837 -0.01132
